Animal No,Parents,DOB,Location,Cage No,Animal No,Sex,Purpose,Surgery date,Injection,Comments,,,Pain model,Sac date,Section date,Mounted,Cryoprotect
253,WTL314,23/20/2020,,,4,M,,,,Headcap came out,,,,1/11/21,2/24/21,2/26/21,Y
254,,,,,5,M,,,,,,,,2/16/21,2/24/21,2/26/21,Y
255,,,,,6,M,,,,Headcap came out,,,,1/11/21,2/24/21,2/26/21,Y
,,,,,,,,,,,,,,,,,
256,WTL309,10/10/20,5558C,49,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/2/21,3/4/21,Y
257,,,,,2,M,,,,,,,,,3/2/21,3/4/21,Y
258,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
259,,,,,4,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
260,,,,,5,M,,,,,,,,,3/3/21,3/4/21,Y
,,,,,,,,,,,,,,,,,
261,WTL310,10/1/20,5558C,50,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,3/4/21,Y
262,,,,,2,M,,,,Control in dHPC (FDIC),,,-,-,-,-,-
263,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/4/21,Y
264,,,,,4,M,,,,,,,,,3/3/21,3/4/21,Y
,,,,,,,,,,,,,,,,,
265,WTL311,10/10/20,5558C,51,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,3/4/21,Y
266,,,,,2,M,,,,,,,,,3/3/21,3/4/21,Y
267,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,3/8/21,Y
268,,,,,4,M,,,,Control in dHPC (FDIC),,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
269,WTL312,10/14/20,5558C,52,1,M,"Stimulation in SuM, FP in NAc",1/5/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc",,,,,,3/3/21,4/27/21,Y
270,,,,,2,M,,,,Control in dHPC,,,,,3/3/21,4/27/21,Y
271,,,,,3,M,,,,Control in dHPC,,,,,3/3/21,4/27/21,Y
272,WTL315,10/21/20,,53,1,M,,,,,,,,,3/3/21,4/27/21,Y
272,,,,,2,M,,,,Control DIED,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
273,WTL322,11/13/20,5558C,54,1,M,Cannula/Elec combo for SK2,1/21/21,Cannula/Elec combo in dHPC,,,,,2/16/21,2/24/21,3/1/21,Y
274,,,,,2,M,,,,,,,,2/16/21,2/24/21,3/1/21,Y
275,,,,,3,M,,,,,,,,2/16/21,2/24/21,3/1/21,Y
276,,,,,4,M,,,,,,,,2/16/21,2/24/21,2/25/21,Y
277,,,,,5,M,,,,1/24/21,,,-,-,-,-,-
278,,,,,6,M,,,,1/24/21,,,-,-,-,-,-
279,,,,,7,M,,,,,,,,2/16/21,2/24/21,2/26/21,Y
,,,,,,,,,,,,,,,,,
280,WTL331,12/10/20,5558C,55,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",,,,Saline,5/21/21,,,
281,,,,,2,M,,,,FDIC,,,-,-,-,-,-
282,,,,,3,M,,,,FDIC,,,-,-,-,-,-
283,,,,,4,M,,,,,,,CFA,5/21/21,,,
,,,,,,,,,,,,,,,,,
284,WTL331,12/10/20,5558C,56,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",,,,Saline,5/21/21,,,
285,,,,,2,M,,,,FDIC,,,-,-,-,-,-
286,,,,,3,M,,,,,,,CFA,5/21/21,,,
287,WTL328,11/28/20,,,4,M,,,,FDIC,,,-,-,-,-,-
,,,,,,,,,,,,,,,,,
288,WTL332,12/10/20,5558C,57,1,M,"Stimulation in dHPC, FP in Nac",1/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac",FDIC,,,-,-,-,-,-
289,,,,,2,M,,,,,,,Saline,5/21/21,,,
290,,,,,3,M,,,,FDIC,,,-,-,-,-,-
291,,,,,4,M,,,,,,,CFA,5/21/21,,,
,,,,,,,,,,,,,,,,,
292,WTL324,11/16/20,5558C,58,1,M,Cannula/ Electro combo + CPP,2/16/21,Cannula / Electrode combo in dHPC,,,,,4/7/21,4/19/21,4/19/21,Y
293,,,,,2,M,,,,,,,,4/7/21,4/19/21,4/19/21,Y
294,,,,,3,M,,,,,,,,4/7/21,4/19/21,4/19/21,Y
295,,,,,4,M,,,,,,,,4/7/21,4/19/21,4/21/21,Y
296,,,,,5,M,,,,,,,,4/7/21,4/19/21,4/21/21,Y
,,,,,,,,,,,,,,,,,
297,WTL327,11/23/20,5558C,59,1,M,Viral tracing from MS to dHPC,2/25/21,CAMKII-eYPF in MS,,,,,4/7/21,4/21/21,4/23/21,Y
298,,,,,2,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
299,,,,,3,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
300,,,,,4,M,,,,,,,,4/7/21,4/21/21,4/23/21,Y
301,,,,,5,M,,,,FDIC,,,,4/7/21,-,-,-
,,,,,,,,,,,,,,,,,
302,WTL337,12/16/20,5558C,60,1,M,Viral tracing from dHPC for Hannah's IHC,3/1/21,CAMKII-eYPF in MS,,,,,4/7/21,4/14/21,Brain passed to Hannah after slicing.,-
303,,,,,2,M,,,,,,,,4/7/21,4/14/21,,-
304,,,,,3,M,,,,,,,,4/7/21,4/14/21,,-
305,WTL338,,,,4,M,,,,,,,,4/7/21,4/15/21,,-
306,,,,,5,M,,,,,,,,4/7/21,4/15/21,,-
,,,,,,,,,,,,,,,,,
307,WTL365,2/8/21,5558C,61,1,M,Cannula/ Electro combo + CPP,4/6/21,Cannula / Electrode combo in dHPC,FDIC,,,-,-,-,-,-
308,,,,,2,M,,,,FDIC,,,-,-,-,-,-
309,,,,,3,M,,,,,,,,5/7/21,,,Y
310,,,,,4,M,,,,FDIC,,,-,-,-,-,-
311,,,,,5,M,,,,,,,,5/7/21,,,Y
312,WTL364,2/2/21,,,1R,M,,4/8/21,,,,,,5/7/21,,,Y
313,,,,,2R,M,,,,,,,,5/7/21,,,Y
314,,,,,4R,M,,,,,,,,5/7/21,,,Y
,,,,,,,,,,,,,,,,,
315,WTL376,3/7/21,5558C,62,1,M,Cannula/ Electro combo + CPP,5/10/21,Cannula / Electrode combo in dHPC,,,,,6/3/21,6/7/21,6/7/21,Y
316,,,,,2,M,,,,,,,,6/3/21,6/7/21,6/7/21,Y
317,,,,,3,M,,,,,,,,6/3/21,6/7/21,6/7/21,Y
318,,,,,4,M,,,,,,,,6/3/21,6/7/21,6/7/21,Y
319,,,,,5,M,,,,,,,,6/3/21,6/7/21,6/7/21,Y
,,,,,,,,,,,,,,,,,
320,WTL358,1/30/21,5558C,63,1,M,Viral tracing in the MS,5/11/21,AAV-hSYN-eGFP in the MS,,,,,6/10/21,,,
321,,,,,2,M,,,,,,,,6/10/21,6/14/21,6/15/21,Y
322,,,,,3,M,,,,,,,,6/10/21,6/14/21,6/15/21,Y
323,,,,,4,M,,,,,,,,6/10/21,6/14/21,6/15/21,Y
,,,,,,,,,,,,,,,,,
324,WRL379,3/16/21,5558C,64,1,M,RTPT +CFA,5/17/21,AAV-CaMKII-ChR2 in dHPC,Done with Sulan,,,,7/23/21,7/26/21,7/28/21,Y
325,,,,,2,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
,,,,,,,,,,,,,,,,,
326,WTL380,3/17/21,5558C,65,1,M,RTPT + CFA,5/17/21,AAV-CaMKII-ChR2 in dHPC,Done with Sulan,,,,7/23/21,7/26/21,7/28/21,Y
327,,,,,2,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
328,,,,,3,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
329,,,,,4,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
330,,,,,5,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
,,,,,,,,,,,,,,,,,
331,WTL381,3/20/21,5558C,66,1,M,RTPT + CFA,5/17/21,AAV-CaMKII-ChR2 in dHPC,Done with Sulan,,,,7/23/21,7/26/21,7/28/21,Y
332,,,,,2,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
333,,,,,3,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
334,,,,,4,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
335,,,,,5,M,,,,,,,,7/23/21,7/26/21,7/28/21,Y
,,,,,,,,,,,,,,,,,
356,WTL383,3/22/21,5558C,67,1,M,Cannula/ Electro combo + CPP,6/8/21,Cannula / Electrode combo in dHPC,,,,,Y,7/8/21,7/12/21,Y
357,,,,,2,M,,,,,,,,Y,7/8/21,7/12/21,Y
358,,,,,3,M,,,,,,,,Y,7/8/21,7/12/21,Y
359,,,,,4,M,,,,,,,,Y,7/8/21,7/12/21,Y
360,,,,,5,M,,,,,,,,Y,7/8/21,7/12/21,Y
,,,,,,,,,,,,,,,,,
361,WTL389,3/28/21,5558C,68,1,M,"stim in the dHPC, FP in the NAc. CFA vs Sal",6/22/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers",,,,Saline,Y,,,
362,,,,,2,M,,,,Replaced with WTL392,,,CFA,Y,,,
363,WTL390,,,,3,M,,,,,,,Saline,Y,,,
364,,,,,4,M,,,,Died post-CFA injection,,,-,-,-,-,-
365,WTL391,3/29/21,,69,1,M,,,,,,,CFA,Y,,,
366,,,,,2,M,,,,,,,CFA,Y,,,
367,,,,,3,M,,,,Sac due to laceration on skin,,,-,-,-,-,-
368,,,,,4,M,,,,FDIC,,,-,-,-,-,-
369,,,,,5,M,,,,FDIC,,,-,-,-,-,-
370,,,,,6,M,,,,,,,Saline,Y,,,
,,,,,,,,,,,,,,,,,
362,WTL429,6/16/21,5558C,70,1,F,"stim in the dHPC, FP in the NAc. CFA vs Sal",8/17/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers",,,,Saline,Y,,,
363,,,,,2,F,,,,,,,CFA,Y,,,
364,,,,,3,F,,,,,,,Saline,Y,,,
365,,,,,4,F,,,,,,,CFA,Y,,,
366,,,,,5,F,,,,,,,Saline,Y,,,
367,WTL427,6/11/21,,,6,F,,,,,,,CFA,Y,,,
368,WTL428,6/16/21,,71,1,M,,,,,,,Saline,Y,,,
369,WTL430,6/17/21,,,2,F,,,,,,,CFA,Y,,,
370,,,,,3,F,,,,,,,CFA,Y,,,
,,,,,,,,,,,,,,,,,
371,,,5558C,72,1,F,Stim in the dHPC and Gi in the MS,8/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers",,,,-,Y,,,
372,,,,,2,F,,,,,,,-,Y,,,
373,,,,,3,F,,,,,,,-,Y,,,
374,,,,,4,M,,,,,,,-,Y,,,
375,,,,,5,M,,,,,,,-,Y,,,
376,,,,,6,F,,,,,,,-,Y,,,
377,,,,,7,F,,,,,,,-,Y,,,
378,,,,,8,F,,,,,,,-,Y,,,
379,,,,,9,F,,,,,,,-,Y,,,
380,,,,,10,F,,,,,,,-,Y,,,
381,,,,,11,M,,,,,,,-,Y,,,
,,,,,,,,,,,,,,,,,
381,,,5558C,73,1,F,Stim in the dHPC and Gi in the MS,8/9/21,"AAV-CAMKII-ChR2-eYFP in dHPC, AAV-CaMKII-GiDREADD-mcherry in MS; Sulan did viral and Nisa did fibers",Did RTPT but did not see an effect with blocking of MS,,,-,Y,,,
382,,,,,2,M,,,,,,,-,Y,,,
383,,,,,3,M,,,,,,,-,Y,,,
384,,,,,4,M,,,,,,,-,Y,,,
385,,,,,5,M,,,,,,,-,Y,,,
386,,,,,6,M,,,,,,,-,Y,,,
387,,,,,7,M,,,,,,,-,Y,,,
388,,,,,8,M,,,,,,,-,Y,,,
389,,,,,9,F,,,,,,,-,Y,,,
390,,,,,10,F,,,,,,,-,Y,,,
391,,,,,11,M,,,,,,,-,Y,,,
,,,,,,,,,,,,,,,,,
392,,,5558C,74,1,M,Stim in the MS and Gi in the dHPC,9/30/21,"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC; ",Did RTPT and Self-Stim,,,-,Y,,,
393,,,,,2,M,,,,,,,-,Y,,,
394,,,,,3,M,,,,,,,-,Y,,,
395,,,,,4,F,,,,,,,-,Y,,,
396,,,,,5,F,,,,,,,-,Y,,,
397,,,,,6,F,,,,,,,-,Y,,,
398,,,,,7,F,,,,,,,-,Y,,,
399,,,,,8,F,,,,,,,-,Y,,,
400,,,,,9,F,,,,,,,-,Y,,,
401,,,,,10,F,,,,,,,-,Y,,,
402,,,,,11,F,,,,,,,-,Y,,,
403,,,,,12,F,,,,,,,-,Y,,,
,,,,,,,,,,,,,,,,,
404,,,5558C,75,1,M,Stim in the MS and Gi in the Dhpc,9/30/21,"AAV-CAMKII-ChR2-eYFP in MS, AAV-CaMKII-GiDREADD-mcherry in dHPC;",,,,-,Y,,,
405,,,,,2,M,,,,,,,-,Y,,,
406,,,,,3,M,,,,,,,-,Y,,,
407,,,,,4,M,,,,,,,-,Y,,,
408,,,,,5,F,,,,,,,-,Y,,,
409,,,,,6,M,,,,,,,-,Y,,,
410,,,,,7,M,,,,,,,-,Y,,,
411,,,,,8,M,,,,,,,-,Y,,,
412,,,,,9,M,,,,,,,-,Y,,,
413,,,,,10,M,,,,,,,-,Y,,,
,,,,,,,,,,,,,,,,,
414,WTL502,,5558C,76,1,F,Stimulation of the direct projection from dHPC to NAc,1/24/22,"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc;  post processing handled by Niko and Yinka",Perfused for tracing,,,-,Y,Y,Y,
415,,,,,2,F,,,,Perfused for tracing,,,-,Y,Y,Y,
416,,,,,3,F,,,,,,,-,Y,Y,Y,
417,,,,,4,F,,,,,,,-,Y,Y,Y,
418,,,,,5,F,,,,,,,-,Y,Y,Y,
419,,,,,6,M,,,,FDIC,,,-,-,-,-,-
420,,,,,7,M,,,,,,,-,Y,Y,Y,
421,,,,,8,M,,,,,,,-,Y,Y,Y,
422,,,,,9,M,,,,,,,-,Y,Y,Y,
423,,,,,10,M,,,,,,,-,Y,Y,Y,
424,,,,,11,M,,,,,,,-,Y,Y,Y,
425,,,,,12,M,,,,,,,-,Y,Y,Y,
,,,,,,,,,,,,,,,,,
414,WTL503,,5558C,77,1,F,Stimulation of the direct projection from dHPC to NAc,1/28/22,"AAV-CAMKII-ChR2-eYFP in dHPC bilateral, Fiber in the NAc; post processing handled by Niko and Yinka ",FDIC,,,-,-,-,-,-
415,,,,,2,F,,,,,,,-,Y,Y,Y,
416,,,,,3,F,,,,,,,-,Y,Y,Y,
417,,,,,4,F,,,,,,,-,Y,Y,Y,
418,,,,,5,F,,,,,,,-,Y,Y,Y,
419,,,,,6,F,,,,,,,-,Y,Y,Y,
420,,,,,7,F,,,,,,,-,Y,Y,Y,
421,,,,,8,F,,,,,,,-,Y,Y,Y,
422,,,,,9,M,,,,,,,-,Y,Y,Y,
425,,,,,10,M,,,,,,,-,Y,Y,Y,
,,,,,,,,,,,,,,,,,
426,WTL511,,5558C,78,1,F,Tracing from the NAc to the dHPC,2/28/22,retroAAV-CAMKII-ChR2-mCherry,,,,-,6/3/22,,,
427,,,,,2,F,,,,,,,-,6/3/22,,,
428,,,,,3,F,,,,,,,-,6/3/22,,,
429,,,,,4,F,,,,,,,-,6/3/22,,,
430,,,,,5,F,,,,,,,-,6/3/22,,,
,,,,,,,,,,,,,,,,,
431,,,5558C,,Y1,M,Lei-Dab7 daily infusion PRACTICE CPP,2/4/22,Cannula Implants,Headcap came out during infusion,,,-,-,-,-,-
432,,,,,Y2,M,,,,Headcap came out during infusion,,,-,-,-,-,-
433,,,,,Y3,M,,,,Headcap came out during infusion,,,-,-,-,-,-
434,,,,,Y4,M,,,,Headcap came out during infusion,,,-,-,-,-,-
435,,,,,Y5,M,,,,Headcap came out during infusion,,,-,-,-,-,-
436,,,,,Y6,M,,,,,,,-,Y,Y,Y,Y
437,,,,,Y7,M,,,,,,,-,Y,Y,Y,Y
438,,,,,Y8,M,,,,Headcap came out during infusion,,,-,-,-,-,-
439,,,,,Y9,M,,,,FDIC,,,-,-,-,-,-
440,,,,,Y10,M,,,,Headcap came out during infusion,,,-,-,-,-,-
441,,,,,Y11,M,,,,FDIC,,,-,-,-,-,-
442,,,,,Y12,M,,,,,,,-,Y,Y,Y,Y
,,,,,,,,,,,,,,,,,
431,,,5558C,,Y13,M,Lei-Dab7 daily infusion PRACTICE CPP,3/22/22,Cannula Implants,,,,-,Y,Y,Y,Y
432,,,,,Y14,M,,,,,,,-,Y,Y,Y,Y
433,,,,,Y15,M,,,,,,,-,Y,Y,Y,Y
434,,,,,Y16,M,,,,,,,-,Y,Y,Y,Y
435,,,,,Y17,M,,,,,,,-,Y,Y,Y,Y
436,,,,,Y18,M,,,,,,,-,Y,Y,Y,Y
437,,,,,Y19,M,,,,,,,-,Y,Y,Y,Y
438,,,,,Y20,M,,,,,,,-,Y,Y,Y,Y
439,,,,,Y21,M,,,,,,,-,Y,Y,Y,Y
440,,,,,Y22,M,,,,,,,-,Y,Y,Y,Y
441,,,,,Y23,M,,,,,,,-,Y,Y,Y,Y
442,,,,,Y24,M,,,,,,,-,Y,Y,Y,Y
443,,,,,Y25,M,,,,,,,-,Y,Y,Y,Y
444,,,,,Y26,M,,,,,,,-,Y,Y,Y,Y
445,,,,,Y27,M,,,,,,,-,Y,Y,Y,Y
446,,,,,Y28,M,,,,,,,-,Y,Y,Y,Y
,,,,,,,,,,,,,,,,,
447,WTL532,,5558C,,Y28,M,Lei-Dab7 daily infusion PRACTICE CPP,2/4/22,Cannula Implants,FDIC,,,-,-,-,-,-
448,,,,,Y29,M,,,,FDIC,,,-,-,-,-,-
449,,,,,Y30,M,,,,FDIC,,,-,-,-,-,-
450,,,,,Y31,M,,,,,,,-,Y,Y,,
451,,,,,Y32,M,,,,,,,-,Y,Y,,
452,,,,,Y33,M,,,,,,,-,Y,Y,,
453,,,,,Y34,M,,,,FDIC,,,-,-,-,-,-
454,,,,,Y35,M,,,,FDIC,,,-,-,-,-,-
455,,,,,Y36,M,,,,FDIC,,,-,-,-,-,-
456,WTL533,,,,Y37,M,,,,FDIC,,,-,-,-,-,-
457,,,,,Y38,M,,,,,,,-,Y,Y,,
458,,,,,Y39,M,,,,,,,-,Y,Y,,
459,WTL534,,,,Y40,M,,,,FDIC,,,-,-,-,-,-
460,,,,,Y41,M,,,,FDIC,,,-,-,-,-,-
461,,,,,Y42,M,,,,,,,-,Y,Y,,
462,,,,,Y43,M,,,,,,,-,Y,Y,,
463,,,,,Y44,M,,,,,,,-,Y,Y,,
464,WTL534,,,,Y29R,M,,,,FDIC,,,-,-,-,-,-
465,WTL529,,,,Y30R,M,,,,,,,-,Y,Y,,
466,,,,,Y31R,M,,,,FDIC,,,-,-,-,-,-
467,,,,,Y35R,M,,,,FDIC,,,-,-,-,-,-
468,WTL531,,,,Y36R,M,,,,,,,-,Y,Y,,
469,,,,,Y37R,M,,,,FDIC,,,-,-,-,-,-
470,WTL535,,,,Y40R,M,,,,,,,-,Y,Y,,
471,,,,,Y41R,M,,,,FDIC,,,-,-,-,-,-
472,,,,,Y34R,M,,,,,,,-,Y,Y,,
473,WLT536,,,,Y35R2,M,,,,,,,-,Y,Y,,
474,WTL530,,,,Y37R2,M,,,,,,,-,Y,Y,,
475,,,,,Y29R3,M,,,,,,,-,Y,Y,,
476,WLTL524,,,,Y31R3,M,,,,,,,-,Y,Y,,
477,,,,,Y41R3,M,,,,,,,-,Y,Y,,
478,,,,,Y45R3,M,,,,,,,-,Y,Y,,
479,,,,,Y46R3,M,,,,,,,-,Y,Y,,
,,,,,,,,,,,,,,,,,
480,,,5558C,,Y47,M,Lei-Dab7 daily infusion PRACTICE CPP,5/12/22,Cannula Implants,,,,-,6/3/22,,,
481,,,,,Y48,M,,,,,,,-,6/3/22,,,
482,,,,,Y49,M,,,,,,,-,6/3/22,,,
483,,,,,,M,,,,FDIC,,,-,-,-,-,-
484,,,,,Y50,M,,,,,,,-,6/3/22,,,
485,,,,,,M,,,,FDIC,,,-,-,-,-,-
486,,,,,,M,,,,FDIC,,,-,-,-,-,-
487,,,,,Y51,M,,,,,,,-,6/3/22,,,
488,,,,,,M,,,,FDIC,,,-,-,-,-,-
489,,,,,Y52,M,,,,,,,-,6/3/22,,,
490,,,,,,M,,,,FDIC,,,-,-,-,-,-
491,,,,,,M,,,,FDIC,,,-,-,-,-,-
492,,,,,,M,,,,FDIC,,,-,-,-,-,-
493,,,,,Y55,M,,,,,,,-,6/3/22,,,
494,,,,,,M,,,,FDIC,,,-,-,-,-,-
495,,,,,Y53,M,,,,,,,-,6/3/22,,,
496,,,,,Y56,M,,,,,,,,6/3/22,,,
497,,,,,,M,,,,FDIC,,,-,-,-,-,-
498,,,,,Y59,M,,,,,,,,6/3/22,,,
499,,,,,Y61,M,,,,,,,,6/3/22,,,
500,,,,,,M,,,,FDIC,,,-,-,-,-,-
501,,,,,Y62,M,,,,,,,,6/3/22,,,
502,,,,,Y60,M,,,,,,,,6/3/22,,,
503,,,,,Y58,M,,,,,,,-,6/3/22,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
